Mouse,Date,Trial Type,Neuron1,Neuron2,Angular Difference,Inhibitory Population,Normalization Index (NI) Neuron1,Normalization Index (NI) Neuron2,OSI Neuron1,OSI Neuron2,Exc-Exc Noise Correlation,Exc-Red Noise Correlation,Red-Red Noise Correlation
30N,62924,Grating,1,9,22.5,SST,0.67721038325484,0.4632259742351371,0.5110519944316614,0.2999796309564465,0.0234465024675154,,
30N,62924,Grating,1,10,157.5,SST,0.67721038325484,0.3243308252905618,0.5110519944316614,0.2664003535309552,0.0119840858868086,,
30N,62924,Grating,1,11,157.5,SST,0.67721038325484,0.139959729174956,0.5110519944316614,0.2360943618885202,-0.0022436990851853,,
30N,62924,Grating,1,12,0.0,SST,0.67721038325484,0.6825990889659305,0.5110519944316614,0.5925869543837662,0.0304584030473773,,
30N,62924,Grating,1,13,157.5,SST,0.67721038325484,0.2839460100331841,0.5110519944316614,0.2149367929585471,,0.0042102853817995,
30N,62924,Grating,1,14,157.5,SST,0.67721038325484,0.4783517514001817,0.5110519944316614,0.1716294472012357,0.0278598772965119,,
30N,62924,Grating,1,15,112.5,SST,0.67721038325484,0.0119829758440399,0.5110519944316614,0.2129006371669866,-0.0102511010036117,,
30N,62924,Grating,1,16,90.0,SST,0.67721038325484,-0.0309092172009801,0.5110519944316614,0.2450767573698955,-0.0241924926532105,,
30N,62924,Grating,1,17,0.0,SST,0.67721038325484,0.5583661163371278,0.5110519944316614,0.2932251982958356,-0.0227382923444534,,
30N,62924,Grating,1,18,112.5,SST,0.67721038325484,0.4239245202589358,0.5110519944316614,0.2292250708961149,-0.0081133444626786,,
30N,62924,Grating,1,19,0.0,SST,0.67721038325484,0.1893725397113057,0.5110519944316614,0.12705089100795,0.0282637593329254,,
30N,62924,Grating,1,20,0.0,SST,0.67721038325484,0.3961817661219455,0.5110519944316614,0.2916108653204953,0.0199514614215822,,
30N,62924,Grating,1,21,0.0,SST,0.67721038325484,0.3537033707402778,0.5110519944316614,0.2455825809341067,0.0106911838042545,,
30N,62924,Grating,1,22,157.5,SST,0.67721038325484,0.4885236292178151,0.5110519944316614,0.3251575214770621,0.0206168101574943,,
30N,62924,Grating,1,23,157.5,SST,0.67721038325484,0.3462866879211442,0.5110519944316614,0.2867028457782862,-0.000522097667232,,
30N,62924,Grating,2,0,135.0,SST,0.4309085174608593,0.5361993787558806,0.1855950495430517,0.1616080488150874,0.0135024412973775,,
30N,62924,Grating,2,1,0.0,SST,0.4309085174608593,0.67721038325484,0.1855950495430517,0.5110519944316614,-0.0225047673996001,,
30N,62924,Grating,2,3,45.0,SST,0.4309085174608593,-0.036003188263396,0.1855950495430517,0.3457462077623844,-0.0449480456091379,,
30N,62924,Grating,2,4,45.0,SST,0.4309085174608593,0.4406550218499901,0.1855950495430517,0.1896578437006615,,-0.0574231868970861,
30N,62924,Grating,2,5,157.5,SST,0.4309085174608593,0.4059920426721453,0.1855950495430517,0.359637859394149,-0.0097558985568068,,
30N,62924,Grating,2,6,157.5,SST,0.4309085174608593,0.2483767703573141,0.1855950495430517,0.2556881230453111,-0.0052588259190288,,
30N,62924,Grating,2,7,157.5,SST,0.4309085174608593,-0.2837675635681971,0.1855950495430517,0.2594447394160984,-0.0119668091011982,,
30N,62924,Grating,2,8,157.5,SST,0.4309085174608593,0.444624935972062,0.1855950495430517,0.1797153259287722,-0.0417442437451848,,
30N,62924,Grating,2,9,22.5,SST,0.4309085174608593,0.4632259742351371,0.1855950495430517,0.2999796309564465,-0.0246681741160333,,
30N,62924,Grating,2,10,157.5,SST,0.4309085174608593,0.3243308252905618,0.1855950495430517,0.2664003535309552,-0.0066796972794089,,
30N,62924,Grating,2,11,157.5,SST,0.4309085174608593,0.139959729174956,0.1855950495430517,0.2360943618885202,0.0203707938453692,,
30N,62924,Grating,2,12,0.0,SST,0.4309085174608593,0.6825990889659305,0.1855950495430517,0.5925869543837662,-0.0124900671127913,,
30N,62924,Grating,2,13,157.5,SST,0.4309085174608593,0.2839460100331841,0.1855950495430517,0.2149367929585471,,0.0189826608001746,
30N,62924,Grating,2,14,157.5,SST,0.4309085174608593,0.4783517514001817,0.1855950495430517,0.1716294472012357,-0.0022063886041322,,
30N,62924,Grating,2,15,112.5,SST,0.4309085174608593,0.0119829758440399,0.1855950495430517,0.2129006371669866,-0.0066990059372199,,
30N,62924,Grating,2,16,90.0,SST,0.4309085174608593,-0.0309092172009801,0.1855950495430517,0.2450767573698955,-0.0042117451561943,,
30N,62924,Grating,2,17,0.0,SST,0.4309085174608593,0.5583661163371278,0.1855950495430517,0.2932251982958356,0.0165856398589698,,
30N,62924,Grating,2,18,112.5,SST,0.4309085174608593,0.4239245202589358,0.1855950495430517,0.2292250708961149,-0.004532721451684,,
30N,62924,Grating,2,19,0.0,SST,0.4309085174608593,0.1893725397113057,0.1855950495430517,0.12705089100795,-0.005301204843566,,
30N,62924,Grating,2,20,0.0,SST,0.4309085174608593,0.3961817661219455,0.1855950495430517,0.2916108653204953,-0.0349974373233998,,
30N,62924,Grating,2,21,0.0,SST,0.4309085174608593,0.3537033707402778,0.1855950495430517,0.2455825809341067,0.0326655789759245,,
30N,62924,Grating,2,22,157.5,SST,0.4309085174608593,0.4885236292178151,0.1855950495430517,0.3251575214770621,-0.0098152647538012,,
30N,62924,Grating,2,23,157.5,SST,0.4309085174608593,0.3462866879211442,0.1855950495430517,0.2867028457782862,-0.015339600422185,,
30N,62924,Grating,3,0,90.0,SST,-0.036003188263396,0.5361993787558806,0.3457462077623844,0.1616080488150874,-0.01979807117487,,
30N,62924,Grating,3,1,45.0,SST,-0.036003188263396,0.67721038325484,0.3457462077623844,0.5110519944316614,-0.0671873899240922,,
