Mouse,Date,Neuron,Group,Fano Factor
18S,071924,25,Preferred,2.413817215180694
18S,071924,25,Null,1.9852275529863554
18S,071924,25,Plaid,2.0575985442934006
18S,071924,25,Grating,2.0298024901562775
18S,071924,25,Plaid Pref/Null,2.0575985442934006
18S,071924,26,Preferred,1.919725909265246
18S,071924,26,Null,0.9211116938324615
18S,071924,26,Plaid,1.7124373584447758
18S,071924,26,Grating,0.965619192470482
18S,071924,26,Plaid Pref/Null,1.7124373584447758
18S,071924,27,Preferred,1.8154636822967252
18S,071924,27,Null,1.511949426680639
18S,071924,27,Plaid,2.016679793496156
18S,071924,27,Grating,1.2954303953181925
18S,071924,27,Plaid Pref/Null,2.016679793496156
18S,071924,28,Preferred,1.6625209823952298
18S,071924,28,Null,1.2786043783399719
18S,071924,28,Plaid,1.5718704377542267
18S,071924,28,Grating,1.1052425787346594
18S,071924,28,Plaid Pref/Null,1.5718704377542267
18S,071924,29,Preferred,2.479035681111648
18S,071924,29,Null,1.200367497392076
18S,071924,29,Plaid,2.1244819506385073
18S,071924,29,Grating,1.2454265286392165
18S,071924,29,Plaid Pref/Null,2.1244819506385073
18S,071924,30,Preferred,1.7560072671397178
18S,071924,30,Null,1.2128336319631223
18S,071924,30,Plaid,0.3091981200630234
18S,071924,30,Grating,1.6626045373865603
18S,071924,30,Plaid Pref/Null,0.3091981200630234
18S,071924,31,Preferred,3.102099767795972
18S,071924,31,Null,1.0755120931276057
18S,071924,31,Plaid,0.6693539475429792
18S,071924,31,Grating,1.8575639085270164
18S,071924,31,Plaid Pref/Null,0.6693539475429792
18S,071924,32,Preferred,1.9306183727357868
18S,071924,32,Null,0.6643460575409331
18S,071924,32,Plaid,0.9093468064346162
18S,071924,32,Grating,1.0452561587901608
18S,071924,32,Plaid Pref/Null,0.9093468064346162
18S,071924,33,Preferred,1.8257076601170739
18S,071924,33,Null,1.894865271037875
18S,071924,33,Plaid,2.597298579732072
18S,071924,33,Grating,1.4270308526487663
18S,071924,33,Plaid Pref/Null,2.597298579732072
18S,071924,34,Preferred,2.990580080973539
18S,071924,34,Null,1.9486652897522267
18S,071924,34,Plaid,2.9365803170879117
18S,071924,34,Grating,1.635458850383036
18S,071924,34,Plaid Pref/Null,2.9365803170879117
18S,071924,35,Preferred,3.8661980373537665
18S,071924,35,Null,2.4872683011803236
18S,071924,35,Plaid,2.877229552254815
18S,071924,35,Grating,2.8342316431653303
18S,071924,35,Plaid Pref/Null,2.877229552254815
18S,071924,36,Preferred,2.0824109370960824
18S,071924,36,Null,0.9128345695966589
18S,071924,36,Plaid,0.47583305932345477
18S,071924,36,Grating,1.409824310565491
18S,071924,36,Plaid Pref/Null,0.47583305932345477
18S,071924,37,Preferred,2.4665356129798206
18S,071924,37,Null,1.7976749010822242
18S,071924,37,Plaid,1.356917412458382
18S,071924,37,Grating,2.3188187871585324
18S,071924,37,Plaid Pref/Null,1.356917412458382
18S,071924,38,Preferred,0.2936599923372843
18S,071924,38,Null,0.24342332598921668
18S,071924,38,Plaid,0.2886200727343151
18S,071924,38,Grating,0.23004347786654306
18S,071924,38,Plaid Pref/Null,0.2886200727343151
18S,071924,39,Preferred,1.3324838767407277
18S,071924,39,Null,1.6096732476084195
18S,071924,39,Plaid,1.1256528195052584
18S,071924,39,Grating,1.7696930754229685
18S,071924,39,Plaid Pref/Null,1.1256528195052584
18S,071924,40,Preferred,3.076040967913927
18S,071924,40,Null,2.66123365780502
18S,071924,40,Plaid,2.6457763965074026
18S,071924,40,Grating,2.8129566645304886
18S,071924,40,Plaid Pref/Null,2.6457763965074026
18S,071924,41,Preferred,1.1432297576633264
18S,071924,41,Null,0.7825859762204742
18S,071924,41,Plaid,0.9293394129349735
18S,071924,41,Grating,0.9753559895655562
18S,071924,41,Plaid Pref/Null,0.9293394129349735
18S,071924,42,Preferred,1.3948280948522505
18S,071924,42,Null,0.7581299337008707
18S,071924,42,Plaid,0.5835082725999307
18S,071924,42,Grating,0.9795800883766428
18S,071924,42,Plaid Pref/Null,0.5835082725999307
18S,071924,43,Preferred,0.18014409025109285
18S,071924,43,Null,0.16679180720553097
18S,071924,43,Plaid,0.14120113661196368
18S,071924,43,Grating,0.18323207324615817
18S,071924,43,Plaid Pref/Null,0.14120113661196368
18S,071924,44,Preferred,2.1422556769861005
18S,071924,44,Null,1.089587506055233
18S,071924,44,Plaid,0.8556359774763684
18S,071924,44,Grating,1.5770131412136075
18S,071924,44,Plaid Pref/Null,0.8556359774763684
18S,071924,45,Preferred,3.51042495929637
18S,071924,45,Null,1.9514511390066944
18S,071924,45,Plaid,1.816443764779289
18S,071924,45,Grating,2.562545087850201
18S,071924,45,Plaid Pref/Null,1.816443764779289
18S,071924,46,Preferred,1.4997294047586927
18S,071924,46,Null,1.574935580758221
18S,071924,46,Plaid,1.8881804871152497
18S,071924,46,Grating,1.4102682998573468
18S,071924,46,Plaid Pref/Null,1.8881804871152497
18S,071924,47,Preferred,2.094748729520377
18S,071924,47,Null,1.429857996869495
18S,071924,47,Plaid,1.0844226317873364
18S,071924,47,Grating,1.7309285472724412
18S,071924,47,Plaid Pref/Null,1.0844226317873364
18S,071924,48,Preferred,3.1838005401488862
18S,071924,48,Null,1.9121501362212747
18S,071924,48,Plaid,1.8219207648779454
18S,071924,48,Grating,2.1977642478710164
18S,071924,48,Plaid Pref/Null,1.8219207648779454
18S,071924,49,Preferred,4.132741550837024
18S,071924,49,Null,3.1154223904533995
18S,071924,49,Plaid,3.2214823114705045
18S,071924,49,Grating,3.3207346567109526
18S,071924,49,Plaid Pref/Null,3.2214823114705045
18S,071924,50,Preferred,2.0958942698996603
18S,071924,50,Null,1.39854186393713
18S,071924,50,Plaid,0.4217681413501334
18S,071924,50,Grating,1.9453525686674398
18S,071924,50,Plaid Pref/Null,0.4217681413501334
18S,071924,51,Preferred,0.7095506163197846
18S,071924,51,Null,0.3864434159469353
18S,071924,51,Plaid,0.20263217748150383
18S,071924,51,Grating,0.5172853813155649
18S,071924,51,Plaid Pref/Null,0.20263217748150383
18S,071924,52,Preferred,3.5942462841231846
18S,071924,52,Null,1.3429698320231955
18S,071924,52,Plaid,1.0675352085868337
18S,071924,52,Grating,2.029740610327072
18S,071924,52,Plaid Pref/Null,1.0675352085868337
18S,071924,53,Preferred,2.6891144368633597
18S,071924,53,Null,1.2521169806293215
18S,071924,53,Plaid,1.7547240553535273
18S,071924,53,Grating,1.5260902131709941
18S,071924,53,Plaid Pref/Null,1.7547240553535273
18S,071924,54,Preferred,1.475638182439516
18S,071924,54,Null,1.076564758107156
18S,071924,54,Plaid,1.2199065747903097
18S,071924,54,Grating,1.1079055818490011
18S,071924,54,Plaid Pref/Null,1.2199065747903097
18S,071924,55,Preferred,1.1476045487654511
18S,071924,55,Null,0.7564491871799278
18S,071924,55,Plaid,1.3105258226809078
18S,071924,55,Grating,0.33784121017730406
18S,071924,55,Plaid Pref/Null,1.3105258226809078
18S,071924,56,Preferred,2.6397603478524903
18S,071924,56,Null,2.0151456101257006
18S,071924,56,Plaid,2.1768992321598772
18S,071924,56,Grating,1.884160422054423
18S,071924,56,Plaid Pref/Null,2.1768992321598772
18S,071924,57,Preferred,0.6314104883495173
18S,071924,57,Null,0.500979577845112
18S,071924,57,Plaid,0.6735148726031136
18S,071924,57,Grating,0.43270321767487907
18S,071924,57,Plaid Pref/Null,0.6735148726031136
18S,071924,58,Preferred,1.411329660510311
18S,071924,58,Null,0.9147523509181014
18S,071924,58,Plaid,1.0249896809844636
18S,071924,58,Grating,1.0238877227726457
18S,071924,58,Plaid Pref/Null,1.0249896809844636
18S,071924,59,Preferred,2.7739180791666445
18S,071924,59,Null,1.897157504347971
18S,071924,59,Plaid,1.2362483697519153
