Mouse,Date,Neuron,Preferred Fano Factor,Null Fano Factor,Plaid Pref/Null Fano Factor,Normalization Index,Noise Correlation,All-Red Noise Correlation,OSI,Red-Red Noise Correlation,Red-All Noise Correlation,Exc-Exc Noise Correlation
18S,071924,2,5.5981834573591565,6.662720023330513,5.44593378683876,0.496836394071579,0.04612483040046163,,0.4886588665312024,,,
18S,072024,3,2.5082042878501634,5.938645921790604,3.3053647719580175,0.655103325843811,0.10281826758428722,,0.7787714759447126,,,
30G,082524,6,2.0682251306315673,1.8391948120645893,2.2237848233476276,0.18484044075012207,0.006406665575261588,,0.3371588340201133,,,
32L,042424,0,5.857777258843806,5.4975939152494355,4.759760480662034,0.29519855976104736,-0.003550877956193121,,0.342474459920231,,,
42R2,072924,5,0.8330576584926347,1.0396313476919201,0.9771794369628956,0.4061302741219162,0.007037683920775747,,0.2067766079559615,,,
42R,072424,11,3.53190466441457,2.983613031382497,3.3392588426738588,0.29372981252290103,-0.00046051655641268124,,0.1563760047625831,,,
42R,072524,14,10.191102139702972,6.9580835685172735,6.262497362397693,0.6413023378036394,0.015324103175412912,,0.49023871030861604,,,
